,Timestamp,Email address,Google_Score,Name,IITP webmail,Phone (10 digit only),roll,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,Score_after_negative,StatusAns
19,07-08-2021 12:20,sage_harvey3237@hourpy.biz,66.0 / 84.0,Sage Harvey,sage_harvey4650@iitp.ac.in,9935432597,1401ME42,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,,Option C,Option C,Option D,Option B,Option B,Option D,Option A,Option A,Option D,Option A,Option A,Option A,Option D,61.0 / 84.0,"(22.0 , 5.0 , 1)"
20,07-08-2021 12:20,barney_reynolds8711@vetan.org,48.0 / 84.0,Barney Reynolds,barney_reynolds9394@iitp.ac.in,7011906773,1401ME71,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,,,Option A,Option A,,,,Option C,Option C,Option D,,Option D,Option A,Option B,Option A,Option D,Option B,Option A,Option A,Option D,43.0 / 84.0,"(16.0 , 5.0 , 7)"
21,07-08-2021 12:20,leslie_leigh2496@mafthy.com,81.0 / 84.0,Leslie Leigh,leslie_leigh4954@iitp.ac.in,6386744796,1401CB51,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option D,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,80.0 / 84.0,"(27.0 , 1.0 , 0)"
22,07-08-2021 12:20,roger_barrett275@bretoux.com,39.0 / 84.0,Roger Barrett,roger_barrett9587@iitp.ac.in,8447298144,1401EE15,Option A,,,Option C,,,Option D,,,Option A,Option B,Option D,,,,,Option D,Option D,Option C,,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,35.0 / 84.0,"(13.0 , 4.0 , 11)"
23,07-08-2021 12:20,kaylee_ranks6910@qater.org,81.0 / 84.0,Kaylee Ranks,kaylee_ranks3489@iitp.ac.in,8382819704,1401CS66,Option A,Option D,Option B,Option C,Option A,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,80.0 / 84.0,"(27.0 , 1.0 , 0)"
24,07-08-2021 12:20,barney_vass9807@deons.tech,84.0 / 84.0,Barney Vass,barney_vass75@iitp.ac.in,7016101839,1401CS44,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,84.0 / 84.0,"(28.0 , 0.0 , 0)"
25,07-08-2021 12:20,david_goldsmith6463@jiman.org,75.0 / 84.0,David Goldsmith,david_goldsmith6231@iitp.ac.in,7719416361,1401CS14,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option B,Option A,Option D,Option D,Option B,Option D,Option C,Option D,,Option C,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,73.0 / 84.0,"(25.0 , 2.0 , 1)"
26,07-08-2021 12:20,joseph_adams6387@zorer.org,48.0 / 84.0,Joseph Adams,joseph_adams5568@iitp.ac.in,9284978953,1401EE27,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,,,,Option A,,,,,Option C,Option D,,Option D,,,Option A,Option D,Option D,Option C,Option C,Option D,47.0 / 84.0,"(16.0 , 1.0 , 11)"
27,07-08-2021 12:20,dakota_lewis5177@cispeto.com,42.0 / 84.0,Dakota Lewis,dakota_lewis3583@iitp.ac.in,9182589196,1401EE36,Option A,Option B,,,,,Option D,,Option A,,Option D,Option A,Option D,Option D,Option B,Option D,Option D,Option D,Option A,Option D,,,Option A,Option D,,Option A,Option C,Option B,37.0 / 84.0,"(14.0 , 5.0 , 9)"
28,07-08-2021 12:20,violet_crawford7748@mafthy.com,84.0 / 84.0,Violet Crawford,violet_crawford9473@iitp.ac.in,7380481132,1401CS78,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,84.0 / 84.0,"(28.0 , 0.0 , 0)"
29,07-08-2021 12:20,molly_vinton5056@corti.com,42.0 / 84.0,Molly Vinton,molly_vinton9714@iitp.ac.in,9129672511,1401CE47,,,Option B,Option C,,Option C,Option D,Option D,,,,,Option D,,Option B,,Option C,Option D,,,Option A,,Option A,Option D,Option D,Option A,Option B,,41.0 / 84.0,"(14.0 , 1.0 , 13)"
30,07-08-2021 12:20,noah_knott432@ubusive.com,45.0 / 84.0,Noah Knott,noah_knott6570@iitp.ac.in,6309828611,1401CE29,Option D,,Option B,Option A,,Option C,Option D,Option D,,Option A,Option D,,Option B,Option B,,Option C,Option C,Option D,Option C,Option D,Option A,Option B,Option A,Option D,Option D,Option A,Option C,Option D,37.0 / 84.0,"(15.0 , 8.0 , 5)"
31,07-08-2021 12:20,percy_verdon9666@naiker.biz,63.0 / 84.0,Percy Verdon,percy_verdon8106@iitp.ac.in,8429697765,1401ME11,Option A,Option D,Option B,Option C,,Option C,Option D,,Option A,Option A,Option D,Option A,Option B,Option D,Option B,Option D,Option C,Option D,,Option B,,Option A,Option A,Option D,Option D,Option A,Option C,Option D,60.0 / 84.0,"(21.0 , 3.0 , 4)"
32,07-08-2021 12:20,alexander_partridge5822@muall.tech,66.0 / 84.0,Alexander Partridge,alexander_partridge2616@iitp.ac.in,9829324136,1401ME45,Option A,Option D,Option B,Option C,,Option C,Option D,,,,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option D,Option A,Option A,Option D,Option D,Option A,Option C,Option B,64.0 / 84.0,"(22.0 , 2.0 , 4)"
33,07-08-2021 12:20,lynn_jones6752@nickia.com,51.0 / 84.0,Lynn Jones,lynn_jones17@iitp.ac.in,8218930662,1401CB02,Option A,Option D,Option B,Option C,,Option C,Option D,,Option A,,,Option A,,Option D,Option B,Option D,Option C,Option A,Option B,Option D,,,Option A,Option A,,Option A,Option C,Option B,48.0 / 84.0,"(17.0 , 3.0 , 8)"
34,07-08-2021 12:20,ronald_owens3897@mafthy.com,75.0 / 84.0,Ronald Owens,ronald_owens5086@iitp.ac.in,9947107295,1401CB16,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option A,Option D,Option A,Option D,,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,74.0 / 84.0,"(25.0 , 1.0 , 2)"
35,07-08-2021 12:20,daniel_reading1705@deavo.com,69.0 / 84.0,Daniel Reading,daniel_reading4547@iitp.ac.in,9509614050,1401MM25,Option A,,Option B,Option C,Option B,Option C,Option D,Option D,Option C,Option A,,Option A,Option D,,Option B,Option D,Option C,,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,68.0 / 84.0,"(23.0 , 1.0 , 4)"
36,07-08-2021 12:20,sage_potts7984@twace.org,63.0 / 84.0,Sage Potts,sage_potts8201@iitp.ac.in,8851333173,1401EE67,Option A,Option B,Option B,Option C,,Option C,Option D,Option D,Option A,Option A,,,Option D,,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option C,Option D,Option A,Option B,Option D,60.0 / 84.0,"(21.0 , 3.0 , 4)"
37,07-08-2021 12:20,harriet_ward8388@deavo.com,63.0 / 84.0,Harriet Ward,harriet_ward8123@iitp.ac.in,9161105636,1401CE25,Option A,,Option B,Option C,,Option C,Option D,Option D,,Option A,Option C,,Option D,Option D,Option B,Option D,Option C,Option D,,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,Option B,62.0 / 84.0,"(21.0 , 1.0 , 6)"
38,07-08-2021 12:20,vera_rycroft6599@muall.tech,27.0 / 84.0,Vera Rycroft,vera_rycroft7673@iitp.ac.in,8210365189,1401CB37,,Option C,Option B,Option C,,Option C,Option C,Option C,,Option A,Option C,Option A,Option C,,,,,Option D,Option C,,Option B,,,,,Option A,,Option D,21.0 / 84.0,"(9.0 , 6.0 , 13)"
39,07-08-2021 12:20,daniel_norton2069@bretoux.com,57.0 / 84.0,Daniel Norton,daniel_norton6748@iitp.ac.in,9373558986,1401CS67,Option A,Option D,Option B,Option C,Option B,Option B,,Option D,Option B,,Option C,Option A,Option B,Option D,Option B,Option C,Option C,Option D,Option B,,Option D,Option A,Option A,Option D,Option B,Option A,Option C,Option D,51.0 / 84.0,"(19.0 , 6.0 , 3)"
40,07-08-2021 12:20,ramon_fulton9477@typill.biz,45.0 / 84.0,Ramon Fulton,ramon_fulton1369@iitp.ac.in,7726062970,1401CS74,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,,Option B,Option D,Option A,,,Option B,,Option C,Option D,,,Option A,,,Option D,,Option A,Option A,Option D,42.0 / 84.0,"(15.0 , 3.0 , 10)"
41,07-08-2021 12:20,gina_thomas5389@tonsy.org,57.0 / 84.0,Gina Thomas,gina_thomas1570@iitp.ac.in,7337213858,1401ME76,Option A,Option D,Option B,Option C,,Option C,Option D,Option D,Option A,Option A,,,Option D,Option D,Option B,Option B,Option C,Option D,,Option D,,Option A,Option A,Option D,,Option A,,Option B,55.0 / 84.0,"(19.0 , 2.0 , 7)"
42,07-08-2021 12:20,dorothy_cameron8751@nimogy.biz,30.0 / 84.0,Dorothy Cameron,dorothy_cameron3069@iitp.ac.in,8305193609,1401EE20,,,,,,,Option D,,,,,Option A,,Option D,,Option D,Option C,,,Option D,,Option A,,Option D,,Option A,Option C,,30.0 / 84.0,"(10.0 , 0.0 , 18)"
43,07-08-2021 12:20,david_allen459@nimogy.biz,66.0 / 84.0,David Allen,david_allen3522@iitp.ac.in,9304879251,1401EE53,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,Option A,Option A,,,Option D,,,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option D,Option D,65.0 / 84.0,"(22.0 , 1.0 , 5)"
44,07-08-2021 12:20,alan_russell8346@atink.com,42.0 / 84.0,Alan Russell,alan_russell9407@iitp.ac.in,9548488625,1401EE18,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option B,Option C,Option D,Option B,,,Option C,Option C,,,,Option B,Option B,Option A,Option D,,Option A,Option B,Option D,35.0 / 84.0,"(14.0 , 7.0 , 7)"
45,07-08-2021 12:20,erica_underhill9030@nickia.com,39.0 / 84.0,Erica Underhill,erica_underhill2603@iitp.ac.in,8582011521,1401CB35,Option A,,,Option C,,,,,,,Option C,,Option D,Option D,Option B,Option D,Option C,,Option C,Option D,,,Option A,Option D,,Option A,Option C,,38.0 / 84.0,"(13.0 , 1.0 , 14)"
46,07-08-2021 12:20,aiden_alldridge4739@vetan.org,24.0 / 84.0,Aiden Alldridge,aiden_alldridge6161@iitp.ac.in,8890770508,1401MM04,Option C,,,Option C,,Option D,Option D,,,Option D,Option D,Option A,Option D,Option D,,Option D,Option D,,Option B,,Option B,Option B,Option A,Option C,,Option C,Option B,,14.0 / 84.0,"(8.0 , 10.0 , 10)"
47,07-08-2021 12:20,gabriel_henderson6057@gmail.com,60.0 / 84.0,Gabriel Henderson,gabriel_henderson5435@iitp.ac.in,7025482101,1401ME06,Option A,Option D,Option B,Option D,Option B,Option C,Option D,,Option A,Option A,Option C,Option A,,Option D,Option B,Option D,Option C,Option D,,,Option A,Option A,Option A,Option D,Option B,Option C,Option A,Option D,56.0 / 84.0,"(20.0 , 4.0 , 4)"
48,07-08-2021 12:20,noah_vincent1196@naiker.biz,33.0 / 84.0,Noah Vincent,noah_vincent8396@iitp.ac.in,7004074950,1401EE68,Option C,Option D,Option C,Option C,Option A,Option C,Option C,Option C,Option C,Option C,Option B,Option A,Option C,Option C,Option A,Option C,Option C,Option D,Option C,Option C,Option A,Option C,Option A,Option D,Option C,Option A,Option D,Option D,16.0 / 84.0,"(11.0 , 17.0 , 0)"
49,07-08-2021 12:20,josephine_graham362@gembat.biz,42.0 / 84.0,Josephine Graham,josephine_graham1732@iitp.ac.in,9660795443,1401CB19,Option A,,Option B,,,,Option D,,,,,,Option D,,,Option D,Option C,,,Option D,Option A,Option A,Option A,Option D,,Option A,Option C,Option D,42.0 / 84.0,"(14.0 , 0.0 , 14)"
50,07-08-2021 12:20,evelynn_howard208@famism.biz,78.0 / 84.0,Evelynn Howard,evelynn_howard9840@iitp.ac.in,9199292919,1401EE04,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,,Option A,Option D,Option D,Option B,Option C,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,77.0 / 84.0,"(26.0 , 1.0 , 1)"
51,07-08-2021 12:20,tania_speed770@brety.org,75.0 / 84.0,Tania Speed,tania_speed7362@iitp.ac.in,9452749717,1401MM13,Option A,Option D,Option B,Option C,Option B,,Option D,Option D,Option A,,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option D,Option A,Option A,Option D,Option D,Option A,Option C,Option D,74.0 / 84.0,"(25.0 , 1.0 , 2)"
52,07-08-2021 12:20,brad_snow7771@supunk.biz,78.0 / 84.0,Brad Snow,brad_snow1128@iitp.ac.in,7667491533,1401CB05,Option A,Option D,Option B,Option C,Option C,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option B,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,76.0 / 84.0,"(26.0 , 2.0 , 0)"
53,07-08-2021 12:20,wendy_healy8906@elnee.tech,33.0 / 84.0,Wendy Healy,wendy_healy2918@iitp.ac.in,9618564987,1401CE38,Option B,Option B,Option B,Option B,,Option C,,Option C,,Option C,Option A,Option A,Option C,,Option A,Option D,Option C,Option D,,Option D,Option A,Option B,Option A,Option A,Option B,Option A,,Option D,22.0 / 84.0,"(11.0 , 11.0 , 6)"
54,07-08-2021 12:20,luke_murphy3941@kideod.biz,66.0 / 84.0,Luke Murphy,luke_murphy5281@iitp.ac.in,9304919227,1401CS56,Option A,,Option B,,Option B,,Option D,Option D,,,Option D,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,65.0 / 84.0,"(22.0 , 1.0 , 5)"
55,07-08-2021 12:20,denny_walker3214@grannar.com,45.0 / 84.0,Denny Walker,denny_walker5595@iitp.ac.in,9931968666,1401ME77,,,Option B,,,Option C,Option A,Option D,Option A,,Option C,Option C,,Option D,,Option D,Option C,,Option B,,Option A,Option A,Option C,Option D,,Option A,Option C,Option D,42.0 / 84.0,"(15.0 , 3.0 , 10)"
56,07-08-2021 12:20,dalia_vaughn487@sveldo.biz,21.0 / 84.0,Dalia Vaughn,dalia_vaughn1891@iitp.ac.in,8603348641,1401CE06,Option B,Option D,Option B,,,Option C,,,,Option A,,Option A,,,,,,Option D,Option A,,,,,,,Option A,,,19.0 / 84.0,"(7.0 , 2.0 , 19)"
57,07-08-2021 12:20,peter_brennan8189@dionrab.com,63.0 / 84.0,Peter Brennan,peter_brennan4459@iitp.ac.in,7767897301,1401CB31,Option A,,Option B,Option C,,Option C,Option D,Option D,,Option A,Option C,Option A,Option D,,Option B,Option D,Option C,Option D,Option B,,Option A,Option A,Option A,Option D,Option D,Option A,Option A,Option B,61.0 / 84.0,"(21.0 , 2.0 , 5)"
58,07-08-2021 12:20,laila_robertson6259@nimogy.biz,63.0 / 84.0,Laila Robertson,laila_robertson3449@iitp.ac.in,8340351017,1401ME39,Option A,Option D,Option B,Option C,,Option C,Option D,,,Option A,Option B,Option A,Option D,Option D,Option B,Option C,Option C,Option D,,,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,61.0 / 84.0,"(21.0 , 2.0 , 5)"
59,07-08-2021 12:20,charlize_wright2930@gembat.biz,69.0 / 84.0,Charlize Wright,charlize_wright4879@iitp.ac.in,7439860023,1401CB11,Option A,Option D,Option B,Option C,,Option C,Option D,,Option A,Option A,,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,,Option A,Option C,Option B,68.0 / 84.0,"(23.0 , 1.0 , 4)"
60,07-08-2021 12:20,owen_thomas8377@grannar.com,45.0 / 84.0,Owen Thomas,owen_thomas6692@iitp.ac.in,8355816953,1401CE13,Option A,Option D,Option B,Option C,,Option C,,Option D,Option A,Option D,,Option A,,,,Option D,Option C,Option D,,,Option D,,,Option D,Option D,Option A,Option B,Option D,42.0 / 84.0,"(15.0 , 3.0 , 10)"
61,07-08-2021 12:20,mandy_hooper3172@sveldo.biz,72.0 / 84.0,Mandy Hooper,mandy_hooper9871@iitp.ac.in,8229859377,1401EE10,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,,,Option D,Option A,Option A,Option D,Option D,Option A,Option C,Option D,71.0 / 84.0,"(24.0 , 1.0 , 3)"
62,07-08-2021 12:20,ethan_robinson3826@deons.tech,33.0 / 84.0,Ethan Robinson,ethan_robinson9228@iitp.ac.in,7717789572,1401MM03,Option C,,Option B,Option C,,,Option D,,Option A,,Option C,Option C,Option D,Option D,,,,Option D,Option A,Option D,,,Option A,,,Option A,Option B,Option B,28.0 / 84.0,"(11.0 , 5.0 , 12)"
63,07-08-2021 12:20,alice_harrison8669@gembat.biz,75.0 / 84.0,Alice Harrison,alice_harrison8561@iitp.ac.in,8961011837,1401CS10,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option B,Option A,Option C,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option B,Option A,Option C,Option D,72.0 / 84.0,"(25.0 , 3.0 , 0)"
64,07-08-2021 12:20,summer_stone8951@deavo.com,42.0 / 84.0,Summer Stone,summer_stone7886@iitp.ac.in,7007222154,1401ME32,Option A,,Option B,,,Option C,,Option D,Option A,Option A,Option C,Option A,,,,,,Option D,,Option D,Option D,,Option A,Option A,Option D,Option C,Option C,Option D,39.0 / 84.0,"(14.0 , 3.0 , 11)"
65,07-08-2021 12:20,gladys_mcgee5071@sheye.org,57.0 / 84.0,Gladys Mcgee,gladys_mcgee9902@iitp.ac.in,7883584826,1401ME27,Option A,,Option B,Option C,,Option C,Option D,Option D,Option A,Option A,,,Option D,Option D,Option B,Option B,Option C,Option D,,Option D,,,Option A,Option D,,Option A,Option C,Option D,56.0 / 84.0,"(19.0 , 1.0 , 8)"
66,07-08-2021 12:20,jayden_thorpe5896@acrit.org,42.0 / 84.0,Jayden Thorpe,jayden_thorpe2289@iitp.ac.in,9113363896,1401EE74,Option A,Option D,Option B,Option C,Option B,Option C,Option D,,,Option A,,Option D,,Option D,Option B,Option C,Option C,Option D,,,Option D,Option B,Option A,Option B,Option B,Option B,Option B,Option D,34.0 / 84.0,"(14.0 , 8.0 , 6)"
67,07-08-2021 12:20,aeris_waterson1260@gompie.com,78.0 / 84.0,Aeris Waterson,aeris_waterson1422@iitp.ac.in,9003568771,1401EE54,Option A,Option D,Option B,Option C,,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option A,Option D,77.0 / 84.0,"(26.0 , 1.0 , 1)"
68,07-08-2021 12:20,abdul_cobb3387@typill.biz,84.0 / 84.0,Abdul Cobb,abdul_cobb5582@iitp.ac.in,7080004448,1401CS02,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,84.0 / 84.0,"(28.0 , 0.0 , 0)"
